"","nameGiven","yearID","adjusted_salary","teamID","bats","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Rank","W","L","rank_delta","batting_Average","homerun_Average"
"121","Daniel Wayne",1986,1317976.76061688,"HOU","R",12,16,0,1,0,0,0,0,0,0,0,12,0,0,2,0,0,1,96,66,0,0.0625,0
"122","Darren Arthur",1986,172849.411228443,"PHI","L",49,138,18,31,4,0,8,21,2,3,38,41,3,1,2,2,1,2,86,75,0,0.22463768115942,0.0579710144927536
"123","Alvin Glenn",1986,864247.056142217,"SEA","L",135,479,66,130,18,1,18,72,0,3,76,68,10,3,2,2,11,7,67,95,1,0.271398747390397,0.0375782881002088
"124","Charles Theodore",1986,1490826.17184532,"SFN","B",153,526,71,146,28,3,13,70,16,13,84,96,23,1,2,5,11,3,83,79,0,0.277566539923954,0.0247148288973384
"125","Glenn Earle",1986,259274.116842665,"HOU","R",158,574,91,152,32,3,31,101,3,1,64,72,6,9,0,7,11,1,96,66,0,0.264808362369338,0.054006968641115
"126","Jody Richard",1986,1800513.98009041,"CHN","R",148,528,61,132,27,2,21,74,0,1,41,110,4,0,4,8,14,5,70,90,1,0.25,0.0397727272727273
"127","Mark William",1986,756216.17412444,"SFN","L",67,8,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,3,83,79,0,0.125,0
"128","Michael Dwayne",1986,1296370.58421333,"OAK","L",142,489,77,131,28,3,19,55,27,4,34,91,2,1,4,5,7,3,76,86,0,0.267893660531697,0.0388548057259714
"129","Ronald Gene",1986,1566447.78925777,"MIN","R",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,91,1,0,0
"130","Ronald Gene",1986,1566447.78925777,"CHN","R",17,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,70,90,1,0,0
"131","George Earl",1986,1101914.99658133,"BAL","R",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,89,1,0,0
"132","William Chester",1986,702200.733115551,"CHA","R",46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"133","Andre Nolan",1986,2262166.66945225,"MON","R",130,496,65,141,32,2,20,78,18,12,37,79,11,6,1,6,13,4,78,83,1,0.284274193548387,0.0403225806451613
"134","Kenneth Grant",1986,648185.292106663,"SLN","L",32,5,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,3,79,82,1,0.2,0
"135","Douglas Vernon",1986,2592741.16842665,"CAL","R",140,512,69,131,20,3,26,96,2,2,52,74,4,2,2,4,19,1,92,70,0,0.255859375,0.05078125
"136","Jeffrey Linden",1986,432123.528071108,"ATL","L",57,16,2,2,0,0,0,1,0,0,0,7,0,0,1,0,0,6,72,89,1,0.125,0
"137","Jose",1986,3943127.19364886,"CHA","R",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"138","John Rikard",1986,955135.597801413,"BAL","R",122,327,42,68,15,1,13,29,1,0,45,78,0,3,7,0,5,7,73,89,1,0.207951070336391,0.0397553516819572
"139","Robert Eugene",1986,1206344.12899263,"CHN","R",108,324,32,73,14,1,4,18,27,2,22,41,1,0,5,0,7,5,70,90,1,0.225308641975309,0.0123456790123457
"140","James Joseph",1986,140440.14662311,"HOU","L",26,43,3,2,0,0,0,1,0,0,6,31,0,0,4,0,0,1,96,66,0,0.0465116279069767,0
"141","Frank Michael",1986,604972.939299552,"HOU","L",31,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,96,66,0,0.2,0
"142","Frank Michael",1986,604972.939299552,"CHN","L",30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,70,90,1,0,0
"143","Kenneth John",1986,302486.469649776,"BAL","B",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,89,1,0,0
"144","William Donald",1986,1188339.70219555,"HOU","B",145,550,92,152,29,3,6,37,42,19,81,57,7,2,4,5,10,1,96,66,0,0.276363636363636,0.0109090909090909
"145","Richard Elliott",1986,2106602.19934665,"CHA","R",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
